MAE_val,RMSE_val,Loss_val,RegLoss_val,epoch,MAE,RMSE,Loss,RegLoss,fold,RMSE_train_mean,MAE_train_mean,RMSE_val_mean,MAE_val_mean
52.53,59.83,0.59,0.0,23,8.79,12.48,0.04,0.0,1,13.72,9.76,22.95,18.6
23.52,27.59,0.21,0.0,28,8.16,12.02,0.03,0.0,2,13.72,9.76,22.95,18.6
27.46,32.71,0.29,0.0,24,7.84,11.49,0.03,0.0,3,13.72,9.76,22.95,18.6
13.25,16.78,0.09,0.0,29,7.07,10.8,0.03,0.0,4,13.72,9.76,22.95,18.6
13.34,18.22,0.09,0.0,29,10.16,13.79,0.04,0.0,5,13.72,9.76,22.95,18.6
7.71,11.73,0.04,0.0,29,7.21,11.05,0.03,0.0,6,13.72,9.76,22.95,18.6
14.25,18.19,0.09,0.0,29,12.61,16.78,0.06,0.0,7,13.72,9.76,22.95,18.6
7.87,11.15,0.03,0.0,29,8.23,12.18,0.03,0.0,8,13.72,9.76,22.95,18.6
14.67,18.6,0.09,0.0,29,15.67,20.67,0.08,0.0,9,13.72,9.76,22.95,18.6
11.44,14.72,0.06,0.0,29,11.89,15.93,0.05,0.0,10,13.72,9.76,22.95,18.6
